price,total sq. ft.,days to sell,zip code,bedrooms,bathrooms,half bathrooms,year built,garage
470007,7770,4,76109,6,6.0,1,2012,True
537585,3698,81,76052,4,3.0,1,1985,False
462370,2971,146,76002,5,4.0,1,1984,False
144404,2541,269,75052,4,3.0,1,1940,False
235953,1320,45,76117,3,1,0,1952,False
221887,1483,77,76020,3,2,0,1978,True
312561,1648,254,76120,2,0.0,0,1986,False
255353,2054,83,76140,3,2.0,1,1954,False
205979,1569,20,76114,3,2.0,1,1995,True
1427056,4257,266,76092,8,5.0,1,1937,True
113487,6878,115,76109,5,4.0,1,1932,True
182110,1516,73,76114,3,2.0,1,1986,True
548305,2326,241,76135,2,0.0,0,2011,True
396461,1786,56,76036,3,3.0,1,1958,True
435196,1467,197,76002,2,1,0,1989,False
552019,2108,99,76040,3,3.0,1,1944,True
352487,1228,170,76140,2,2,0,1992,True
289600,2516,153,76140,4,0.0,0,1990,False
436982,2388,6,76020,2,3.0,1,1997,False
514949,2317,222,76109,2,2.0,1,1944,True
467871,2069,221,76135,3,3.0,1,2015,True
200691,1793,166,76180,2,3.0,1,2011,False
411712,1214,109,76020,2,1,0,1974,True
365412,3221,60,76002,5,3.0,1,1992,False
231175,1325,100,76117,2,1,0,2013,False
454848,2567,439,76028,4,3.0,1,1933,True
406582,9452,47,76109,7,6.0,1,1979,False
298791,1970,230,76036,4,3.0,1,1963,True
112154,2526,72,75052,4,0.0,0,1967,False
319240,1390,118,76140,3,1,0,1971,False
373487,1598,14,76120,3,0.0,0,1990,False
584006,1763,377,76028,3,0.0,0,2011,False
515027,2336,320,76028,3,0.0,0,1970,True
359523,1495,81,76107,2,2,0,1939,False
382634,2315,35,76002,4,2.0,1,1944,False
72286,3594,2,75052,4,4.0,1,1983,False
232776,1333,204,76117,2,1,0,1938,True
398505,2246,5,76017,3,3.0,1,1967,True
1085856,4918,160,76092,7,6.0,1,1943,True
65981,3179,19,76244,4,5.0,1,1968,True
440626,1796,0,76180,3,2.0,1,1966,True
338362,4501,340,76052,6,6.0,1,2014,True
375782,1631,327,76036,4,3.0,1,1986,True
231333,1289,23,76117,3,1,0,1953,True
459584,3151,120,76017,3,4.0,1,1999,False
361802,1891,66,76140,2,2.0,1,2011,False
222167,1912,286,76020,4,3.0,1,1944,True
85456,1496,0,75052,2,2,0,1953,True
513690,8273,2,76109,7,4.0,1,1954,False
431018,2643,235,76126,4,0.0,0,2017,False
213757,2860,318,76028,3,5.0,1,1998,True
150898,2310,12,76244,3,3.0,1,1940,False
229527,1390,53,76117,2,2,0,1946,True
421375,1948,172,76135,3,0.0,0,1982,True
359930,3507,325,76052,3,3.0,1,1942,True
316440,2289,32,76036,3,0.0,0,1991,True
356404,1537,97,76120,4,3.0,1,1964,True
357690,1746,84,76120,4,0.0,0,1988,True
369817,1443,27,76107,2,1,0,2018,False
95755,1109,161,76028,2,1,0,2014,False
409533,2715,25,76028,2,0.0,0,2003,True
234050,1260,35,76117,3,2,0,2000,True
1216040,3808,21,76092,3,3.0,1,2001,True
373301,2119,273,76002,4,2.0,1,2014,False
285198,2308,91,76140,4,0.0,0,1995,True
272459,2186,35,76020,3,2.0,1,1931,False
280543,1347,389,76020,3,1,0,1993,True
437738,1908,28,76180,2,2.0,1,1930,True
308213,1178,17,76013,2,2,0,1989,True
369701,2488,95,76002,2,3.0,1,1993,True
349975,1541,188,76120,4,0.0,0,1938,False
1327450,4023,28,76092,6,6.0,1,1971,True
94053,2582,219,75052,3,2.0,1,1993,True
250982,1681,17,76140,3,3.0,1,1986,False
442526,1754,34,76180,4,0.0,0,1997,False
409910,2805,208,76002,5,4.0,1,1961,True
275560,1412,218,76114,2,1,0,1969,True
212329,1060,0,76114,3,2,0,1984,False
286459,1537,30,76013,4,3.0,1,1965,True
345686,1907,102,76180,4,0.0,0,1977,False
233881,1526,108,76114,4,0.0,0,1978,False
231370,1732,0,76140,2,2.0,1,1978,False
142096,2983,2,76020,5,5.0,1,1931,False
1698154,4448,320,76092,7,5.0,1,2014,False
314120,1830,323,76020,2,0.0,0,2009,False
248876,2345,201,76017,4,2.0,1,1987,True
355533,1869,133,76036,4,2.0,1,1979,False
1265862,4443,94,76092,6,6.0,1,2012,False
264948,1422,330,76020,3,2,0,2010,False
499425,2222,11,76126,2,3.0,1,1980,True
362357,1253,287,76107,2,2,0,1952,True
331053,1734,187,76028,3,3.0,1,1991,True
232044,1249,151,76117,3,2,0,1992,True
576013,2517,9,76028,4,0.0,0,1998,False
232745,1364,332,76117,3,2,0,1944,False
140100,2014,153,76135,4,0.0,0,2010,False
356448,1324,19,76120,3,2,0,2007,True
927782,5256,203,76092,7,6.0,1,2012,True
241352,1121,299,76114,3,1,0,1935,False
357857,3440,302,76002,5,0.0,0,2002,True
1467186,3967,76,76092,5,0.0,0,1950,False
