price,ppsf,total sq. ft.,days to sell,zip code,bedrooms,bathrooms,half bathrooms,year built,garage
368981,83.27,4431,19,76017,8,5.0,1,1953,False
273947,108.62,2522,162,76135,3,3.0,1,1964,True
247084,113.13,2184,17,76140,4,2.0,1,1972,True
231797,175.74,1319,359,76117,2,1,0,1941,True
331311,212.38,1560,6,76107,4,0.0,0,2018,False
45865,37.23,1232,182,76244,2,2,0,1954,True
347807,151.15,2301,40,76036,4,2.0,1,1970,False
341719,172.41,1982,239,76020,3,0.0,0,1984,False
392466,151.94,2583,7,76028,3,0.0,0,1960,True
1167981,384.58,3037,316,76092,3,5.0,1,1972,False
340607,240.37,1417,81,76120,2,1,0,1933,False
395783,158.31,2500,161,76028,2,0.0,0,2009,False
84984,30.3,2805,22,76244,4,4.0,1,1954,True
488962,165.02,2963,22,76028,5,0.0,0,1939,True
532577,219.17,2430,353,76028,2,2.0,1,1932,False
373195,162.9,2291,134,76002,2,2.0,1,1940,False
501905,271.01,1852,281,76180,3,3.0,1,2002,False
166010,99.77,1664,108,76114,4,2.0,1,1952,True
235382,179.54,1311,142,76117,3,2,0,1996,True
306348,149.0,2056,97,76017,3,0.0,0,2013,True
317065,144.12,2200,140,76028,4,0.0,0,1985,True
281717,105.71,2665,259,76140,3,2.0,1,1989,False
306166,211.0,1451,254,76036,3,2,0,1937,False
468441,444.86,1053,359,76135,2,2,0,2003,False
874218,318.82,2742,39,76126,3,2.0,1,1996,True
270077,172.9,1562,193,76114,3,3.0,1,1995,True
410885,157.19,2614,8,76017,3,0.0,0,1955,True
359634,201.59,1784,12,76120,4,0.0,0,1974,False
352775,150.05,2351,10,76040,4,0.0,0,1935,False
518001,280.46,1847,16,76180,3,0.0,0,2007,True
241771,116.57,2074,4,76013,4,0.0,0,1944,False
300847,59.85,5027,8,76109,8,4.0,1,1947,False
234353,177.67,1319,12,76117,3,2,0,1945,True
271328,90.9,2985,133,76140,5,4.0,1,2004,False
446928,191.32,2336,380,76135,3,3.0,1,2010,False
385219,126.84,3037,19,76135,4,5.0,1,2009,False
227878,167.19,1363,240,76117,2,2,0,1952,True
231493,170.84,1355,223,76117,3,2,0,1953,False
138899,106.11,1309,136,76020,2,1,0,1957,True
210718,145.02,1453,15,76114,3,1,0,1953,False
660212,252.57,2614,29,76052,4,3.0,1,1941,False
370194,250.3,1479,136,76107,3,1,0,1998,True
372654,148.05,2517,256,76036,3,2.0,1,1945,True
706818,307.18,2301,43,76028,2,0.0,0,1977,True
627593,374.46,1676,43,76052,4,0.0,0,1956,False
420084,168.37,2495,227,76126,2,3.0,1,1986,False
226365,183.59,1233,376,76114,2,1,0,1964,False
358283,101.41,3533,20,76017,4,0.0,0,1943,False
413831,155.81,2656,196,76017,4,3.0,1,1968,True
368746,154.09,2393,236,76040,3,0.0,0,1989,True
1757685,395.43,4445,26,76092,6,4.0,1,1996,False
360518,221.45,1628,66,76036,4,2.0,1,2009,False
364497,119.47,3051,147,76002,3,5.0,1,1981,True
234490,179.55,1306,66,76117,2,1,0,2011,True
446450,331.19,1348,5,76040,3,2,0,1980,False
404524,129.57,3122,29,76017,3,4.0,1,1952,False
317893,108.46,2931,53,76002,5,3.0,1,1945,True
376669,262.85,1433,8,76120,2,2,0,1991,True
231973,179.13,1295,186,76117,3,2,0,1993,True
341819,252.82,1352,217,76107,2,1,0,1972,False
370099,132.6,2791,225,76017,3,0.0,0,1943,False
234225,173.5,1350,238,76117,2,1,0,1960,True
959650,265.39,3616,1,76052,5,5.0,1,1953,False
188259,144.04,1307,117,76114,3,1,0,2014,True
502610,265.79,1891,36,76028,4,2.0,1,1982,True
190772,175.18,1089,287,76114,3,1,0,1989,False
295055,151.54,1947,171,76013,3,0.0,0,1956,False
545307,267.31,2040,115,76180,4,3.0,1,1936,True
819817,168.34,4870,57,76092,5,4.0,1,2006,True
1396322,255.32,5469,2,76092,6,4.0,1,1953,False
337487,184.72,1827,196,76036,2,0.0,0,1979,False
655593,218.68,2998,104,76126,4,3.0,1,2018,True
336956,214.62,1570,3,76036,2,0.0,0,1988,False
148128,51.87,2856,121,75052,3,0.0,0,1943,True
334403,136.32,2453,32,76002,3,0.0,0,2003,True
296936,164.6,1804,258,76180,2,2.0,1,1992,False
369146,192.77,1915,40,76040,4,0.0,0,1992,True
229870,181.72,1265,19,76117,3,1,0,1999,True
364871,187.59,1945,160,76017,4,0.0,0,2005,False
339684,136.15,2495,4,76036,2,0.0,0,1948,False
369254,222.17,1662,155,76120,2,2.0,1,1999,True
132107,53.1,2488,5,76244,2,0.0,0,1970,False
264015,197.17,1339,126,76036,3,1,0,1958,True
